Question
"Is the smiles: CCCC(=O)C , druglike ?"
"Is the smiles: C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N , druglike ?"
"Is the smiles: CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC , druglike ?"
"Is the smiles: C1=CC=C(C=C1)C=CC(=O)O , druglike ?"
"Is the smiles: C1=CC(=O)C=CC1=O , druglike ?"
"Is the smiles: C(C(C(C(C=O)O)O)O)O , druglike ?"
"Is the smiles: CN(C)NC(=O)CCC(=O)O , druglike ?"
"Is the smiles: CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F , druglike ?"
"Is the smiles: CCCCCCC(=O)O , druglike ?"
"Is the smiles: CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N , druglike ?"
"Is the smiles: CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl , druglike ?"
"Is the smiles: C1=CC=C2C=CC=CC2=C1 , druglike ?"
"Is the smiles: CC(C)OC1=CC=CC=C1OC(=O)NC , druglike ?"
"Is the smiles: C1CNCCN1 , druglike ?"
"Is the smiles: C12C(C(C3C1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl , druglike ?"
"Is the smiles: CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F , druglike ?"
"Is the smiles: C1=CC(=CC=C1O)O , druglike ?"
"Is the smiles: CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(C2)(C(=O)OC)O , druglike ?"
"Is the smiles: C1N2CN3CN1CN(C2)C3 , druglike ?"
"Is the smiles: C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C.[Cl-].[Cl-] , druglike ?"
"Is the smiles: C=C1C(C2(C(C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)(CCl)CCl , druglike ?"
"Is the smiles: CCOP(=S)(OCC)SCSP(=S)(OCC)OCC , druglike ?"
"Is the smiles: CN , druglike ?"
"Is the smiles: CC(CC(C)(C)O)O , druglike ?"
"Is the smiles: CCOP(=O)(OCC)OP(=O)(OCC)OCC , druglike ?"
"Is the smiles: CCCC(C)C , druglike ?"
"Is the smiles: CCOP(=S)(OCC)SCSC(C)(C)C , druglike ?"
"Is the smiles: CCCCCCCCCCCCCC(=O)OC(C)C , druglike ?"
"Is the smiles: COCCOCCO , druglike ?"
"Is the smiles: CCCOC(=O)C , druglike ?"
"Is the smiles: CC1=CC(=CC(=C1)OC(=O)NC)C(C)C , druglike ?"
"Is the smiles: C1=CC(=CC=C1C(=O)O)N , druglike ?"
"Is the smiles: CCCCC(=O)O , druglike ?"
"Is the smiles: CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C , druglike ?"
"Is the smiles: C(CC(=O)O)C(C(=O)O)N , druglike ?"
"Is the smiles: CC(CC1=CC=CC=C1)NC , druglike ?"
"Is the smiles: C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O , druglike ?"
"Is the smiles: C1C(C(C(C(O1)O)O)O)O , druglike ?"
"Is the smiles: CC(C)(C)O , druglike ?"
"Is the smiles: CC(=CC=CC=C(C)C=CC=C(C)C(=O)O)C=CC=C(C)C(=O)O , druglike ?"
"Is the smiles: CC=C1CC(C(C(=O)OCC2=CCN3C2C(CC3)OC1=O)(C)O)C , druglike ?"
"Is the smiles: CCCCCCCCCCCCO , druglike ?"
"Is the smiles: CC(=O)OC1CC(C2(CCC3C(=O)OC(CC3(C2C1=O)C)C4=COC=C4)C)C(=O)OC , druglike ?"
"Is the smiles: CC(=NOCC1=CC=CC=C1C(=NOC)C(=O)OC)C2=CC(=CC=C2)C(F)(F)F , druglike ?"
"Is the smiles: CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)CSC3=CC=NC=C3)SC1)C(=O)O , druglike ?"
"Is the smiles: CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-] , druglike ?"
"Is the smiles: C1C(C(C(C(C1NC(=O)C(CCN)O)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(C(C(C(O3)CN)O)O)O)N , druglike ?"
"Is the smiles: C1=NC2=C(N1)C(=S)N=CN2 , druglike ?"
"Is the smiles: C(COCCO)O , druglike ?"
"Is the smiles: C(C(C(=O)O)O)(C(=O)O)O , druglike ?"
"Is the smiles: COP(=O)(OC)OC(=CCl)C1=CC(=C(C=C1Cl)Cl)Cl , druglike ?"
"Is the smiles: CC(C)(C)C1=C(C=CC(=C1)OC)O , druglike ?"
"Is the smiles: CC(C)(C=NOC(=O)NC)SC , druglike ?"
"Is the smiles: CC1=C([N+](=O)C2=CC=CC=C2N1[O-])C(=O)NCCO , druglike ?"
"Is the smiles: CC1=CC(=CC=C1)O , druglike ?"
"Is the smiles: CC1(CCCCC1)C(=O)NC2=C(C(=C(C=C2)O)Cl)Cl , druglike ?"
"Is the smiles: CCOC(=O)C(C1=CC=C(C=C1)Cl)(C2=CC=C(C=C2)Cl)O , druglike ?"
"Is the smiles: CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)CSC(=O)C4=CC=CO4)C(=O)O , druglike ?"
"Is the smiles: CCC(C)C , druglike ?"
"Is the smiles: CC(C)(C)C1=C(C=CC(=C1)O)O , druglike ?"
"Is the smiles: C1=CC=C2C(=C1)C=CC(=O)O2 , druglike ?"
"Is the smiles: C(C(Cl)(Cl)Cl)(O)O , druglike ?"
"Is the smiles: CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C , druglike ?"
"Is the smiles: C(Cl)Cl , druglike ?"
"Is the smiles: CC1C(C(CC(O1)OC2CCC3(C(C2)CCC4C3CCC5(C4(CC(C5C6=CC(=O)OC6)OC(=O)C)O)C)C)OC)O , druglike ?"
"Is the smiles: C1=CC(=C(C=C1Cl)O)OC2=C(C=C(C=C2)Cl)Cl , druglike ?"
"Is the smiles: CCCCC , druglike ?"
"Is the smiles: CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC , druglike ?"
"Is the smiles: CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34 , druglike ?"
"Is the smiles: C1=CC=C(C=C1)C2=CC=CC=C2 , druglike ?"
"Is the smiles: C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F , druglike ?"
"Is the smiles: C1=CC=C(C=C1)Cl , druglike ?"
"Is the smiles: C(C1C(C(C(C(O1)O)N)O)O)O , druglike ?"
"Is the smiles: CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C , druglike ?"
"Is the smiles: CC(=CCCC(=CCOC(=O)C)C)C , druglike ?"
"Is the smiles: CCN(CC)C(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C , druglike ?"
"Is the smiles: CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O , druglike ?"
"Is the smiles: CC1=C(C=C(C=C1)C(C)C)O , druglike ?"
"Is the smiles: C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O , druglike ?"
"Is the smiles: C=CC=O , druglike ?"
"Is the smiles: C1=CC=C(C(=C1)C(=O)N)O , druglike ?"
"Is the smiles: C1=C(C(=C(C(=C1Cl)Cl)CC2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl , druglike ?"
"Is the smiles: C1=CC(=CC=C1N)S(=O)(=O)O , druglike ?"
"Is the smiles: CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co] , druglike ?"
"Is the smiles: C1CCC(=O)C1 , druglike ?"
"Is the smiles: C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O , druglike ?"
"Is the smiles: C([N+](=O)[O-])(Cl)(Cl)Cl , druglike ?"
"Is the smiles: C=CF , druglike ?"
"Is the smiles: CN1CN(C(=S)SC1)C , druglike ?"
"Is the smiles: CC1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O , druglike ?"
"Is the smiles: CC1(C2CCC1(C(C2)O)C)C , druglike ?"
"Is the smiles: CC1CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC3C(O3)C=CC(=O)O1)O)O)O)C(=O)O)OC4C(C(C(C(O4)C)O)N)O , druglike ?"
"Is the smiles: CC(C)CCCC(C)CCCC(C)CCCC(C)C , druglike ?"
"Is the smiles: CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-] , druglike ?"
"Is the smiles: CN1C(=O)C=C(S1)Cl , druglike ?"
"Is the smiles: C1=CC=C2C(=C1)N=C(S2)SSC3=NC4=CC=CC=C4S3 , druglike ?"
"Is the smiles: C1CNC(=S)N1 , druglike ?"
"Is the smiles: C1CN(CCN1CCOCCO)C2=NC3=CC=CC=C3SC4=CC=CC=C42 , druglike ?"
"Is the smiles: CCCCCOC(=O)C , druglike ?"
"Is the smiles: C(CBr)Br , druglike ?"
"Is the smiles: CC1=C2C(=CC(=C1C(=O)O)O)C(=O)C3=C(C2=O)C(=C(C(=C3O)O)C4C(C(C(C(O4)CO)O)O)O)O , druglike ?"
"Is the smiles: COC(=O)C1=CC=CC=C1C(=O)OC , druglike ?"
"Is the smiles: CCOC(=O)NCCOC1=CC=C(C=C1)OC2=CC=CC=C2 , druglike ?"
"Is the smiles: CC=C(C1=CC=C(C=C1)O)C(=CC)C2=CC=C(C=C2)O , druglike ?"
"Is the smiles: C1=CC=C(C=C1)NC2=CC=CC=C2 , druglike ?"
"Is the smiles: C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3 , druglike ?"
"Is the smiles: C(=CC(=O)O)C(=O)O , druglike ?"
"Is the smiles: C(CC=O)CC=O , druglike ?"
"Is the smiles: C(CCC(=O)O)CC(=O)O , druglike ?"
"Is the smiles: C(CN)N , druglike ?"
"Is the smiles: CCOCC , druglike ?"
"Is the smiles: COC(=O)NC1=NC2=CC=CC=C2N1 , druglike ?"
"Is the smiles: CCCCCCCCCCO , druglike ?"
"Is the smiles: CC(C)(C(Cl)(Cl)Cl)O , druglike ?"
"Is the smiles: CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O , druglike ?"
"Is the smiles: CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4=O)C , druglike ?"
"Is the smiles: C(Cl)(Cl)(Cl)Cl , druglike ?"
"Is the smiles: CCCCC1=CC=CC=C1 , druglike ?"
"Is the smiles: CSCCC(C(=O)O)N , druglike ?"
"Is the smiles: CC12CC(C3C(C1CCC2(C(=O)CO)O)CCC4=CC(=O)C=CC34C)O , druglike ?"
"Is the smiles: CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F , druglike ?"
"Is the smiles: C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32 , druglike ?"
"Is the smiles: C1=CC(=CC=C1CC2=CC=C(C=C2)N=C=O)N=C=O , druglike ?"
"Is the smiles: COP(=S)(OC)OC1=CC(=C(C=C1Cl)Cl)Cl , druglike ?"
"Is the smiles: CC1=CC(=CC=C1)C , druglike ?"
"Is the smiles: C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O , druglike ?"
"Is the smiles: C1C2C(COS(=O)O1)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl , druglike ?"
"Is the smiles: C(C(Cl)Cl)(Cl)Cl , druglike ?"
"Is the smiles: CC(CCO)(CC(=O)O)O , druglike ?"
"Is the smiles: CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C , druglike ?"
"Is the smiles: C(=O)(O)[O-].[Na+] , druglike ?"
"Is the smiles: CC(C)C12CCC(O1)(CC2)C , druglike ?"
"Is the smiles: CC(=O)[O-].[NH4+] , druglike ?"
"Is the smiles: CC(C)C(C(=O)O)N , druglike ?"
"Is the smiles: CN(C)S(=O)(=O)N(C1=CC=CC=C1)SC(F)(Cl)Cl , druglike ?"
"Is the smiles: CCCCCCCCCCCCCC , druglike ?"
"Is the smiles: C(C(=O)CO)O , druglike ?"
"Is the smiles: CN1CCCC1=O , druglike ?"
