model,dataset,lexicalsimilarity,maximumsequenceprobability,montecarlosequenceentropy,sar,semanticentropy
llama3,ambig_qa,76.85,72.48,72.32,78.96,73.89
llama3,coqa,73.23,72.3,73.19,73.8,73.37
llama3,sciq,76.21,74.09,74.48,76.89,75.24
llama3,simple_qa,61.51,60.24,66.37,65.7,64.69
llama3,squad,81.49,78.97,81.9,82.95,81.91
llama3,trivia_qa,86.57,83.85,83.81,87.55,84.5
llama3,truthful_qa,64.4,60.97,61.19,66.07,60.97
llama3,tydiqa,77.52,76.22,76.14,77.26,76.61
mistral_7,coqa,71.72,71.22,72.86,72.41,73.15
mistral_7,simple_qa,57.99,59.19,59.65,58.8,59.91
mistral_7,trivia_qa,75.64,70.99,69.44,80.6,71.4
mistral_7,truthful_qa,66.58,54.71,55.06,68.96,57.34
opt,ambig_qa,45.0,70.0,45.0,55.0,30.0
opt,coqa,69.06,73.14,60.67,71.81,61.65
opt,sciq,65.85,72.03,60.42,66.37,59.44
opt,trivia_qa,73.24,78.48,62.21,75.01,62.83
opt,truthful_qa,57.4,50.8,43.76,62.59,46.93
qwen,ambig_qa,75.03,75.03,75.47,78.76,75.83
qwen,coqa,71.01,69.9,71.14,72.6,72.22
qwen,sciq,68.46,65.8,67.42,71.32,68.04
qwen,simple_qa,57.75,59.12,64.14,64.3,62.69
qwen,squad,77.03,73.18,74.25,77.49,74.72
qwen,trivia_qa,82.8,81.46,81.61,84.58,82.5
qwen,truthful_qa,64.61,63.15,66.17,64.37,65.2
qwen,tydiqa,70.18,71.23,71.31,72.13,71.43
qwen14b,ambig_qa,72.62,70.7,70.65,75.07,71.74
qwen14b,sciq,48.85,48.28,51.76,55.71,46.7
qwen14b,simple_qa,58.63,55.63,58.11,60.73,57.06
qwen14b,squad,71.62,71.16,72.13,72.18,71.38
qwen14b,trivia_qa,78.49,77.4,77.08,82.39,78.71
qwen14b,truthful_qa,70.1,66.85,68.34,69.8,66.63
qwen14b,tydiqa,68.53,70.13,70.7,69.97,70.97
