model,uncertainty_type,dataset,initial_labeled_size,auroc
llama3,sar,trivia_qa,16,0.8464288700543499
llama3,sar,trivia_qa,32,0.8583957280225001
llama3,sar,trivia_qa,64,0.851906046900536
llama3,sar,trivia_qa,96,0.853806392763483
llama3,sar,trivia_qa,128,0.8520960814868306
llama3,sar,trivia_qa,256,0.8651229523773326
llama3,sar,truthful_qa,16,0.6153263668029684
llama3,sar,truthful_qa,32,0.750719369983341
llama3,sar,truthful_qa,64,0.7320914735726186
llama3,sar,truthful_qa,96,0.7885809480539149
llama3,sar,truthful_qa,128,0.7941844616083599
llama3,sar,truthful_qa,256,0.8243222777525367
llama3,sar,coqa,16,0.7731434660117026
llama3,sar,coqa,32,0.7851651857737967
llama3,sar,coqa,64,0.7670934768475042
llama3,sar,coqa,96,0.7726137157167281
llama3,sar,coqa,128,0.7819806641142333
llama3,sar,coqa,256,0.7954230778492138
llama3,sar,simple_qa,16,0.7293612054329373
llama3,sar,simple_qa,32,0.7801291914261461
llama3,sar,simple_qa,64,0.8239667338709676
llama3,sar,simple_qa,96,0.8332250106112054
llama3,sar,simple_qa,128,0.8302936651103565
llama3,sar,simple_qa,256,0.8293718166383701
