model,uncertainty_type,dataset,initial_labeled_size,auroc
qwen,sar,trivia_qa,16,0.7915966960202062
qwen,sar,trivia_qa,32,0.8326165608573963
qwen,sar,trivia_qa,64,0.8340364530002049
qwen,sar,trivia_qa,96,0.8366100075090449
qwen,sar,trivia_qa,128,0.8382619974059663
qwen,sar,trivia_qa,256,0.8503856918560995
qwen,sar,truthful_qa,16,0.706651046547954
qwen,sar,truthful_qa,32,0.716651046547954
qwen,sar,truthful_qa,64,0.7214932833489534
qwen,sar,truthful_qa,96,0.8095907528897219
qwen,sar,truthful_qa,128,0.7858481724461107
qwen,sar,truthful_qa,256,0.7816307403936269
qwen,sar,coqa,16,0.776742535744323
qwen,sar,coqa,32,0.771464991589571
qwen,sar,coqa,64,0.755080424726661
qwen,sar,coqa,96,0.7718592304457528
qwen,sar,coqa,128,0.7782564129520606
qwen,sar,coqa,256,0.7756439234650967
qwen,sar,simple_qa,16,0.8178554074463195
qwen,sar,simple_qa,32,0.8109678902094688
qwen,sar,simple_qa,64,0.7931118261212161
qwen,sar,simple_qa,96,0.8282947008995994
qwen,sar,simple_qa,128,0.8463129555453411
qwen,sar,simple_qa,256,0.8462538577713573
