model,uncertainty_type,dataset,unlabeled_size,auroc
llama3,sar,trivia_qa,100,0.762532780966136
llama3,sar,trivia_qa,200,0.7647941925430429
llama3,sar,trivia_qa,300,0.796339933867964
llama3,sar,trivia_qa,400,0.8070103758884117
llama3,sar,trivia_qa,500,0.8139941469347423
llama3,sar,trivia_qa,600,0.7824103986925621
llama3,sar,trivia_qa,700,0.8108585762608794
llama3,sar,trivia_qa,800,0.8274771008323515
llama3,sar,trivia_qa,900,0.8211299456501083
llama3,sar,trivia_qa,1000,0.8361331762380754
llama3,sar,trivia_qa,1100,0.815751966857968
llama3,sar,trivia_qa,1200,0.8390644597316711
llama3,sar,trivia_qa,1300,0.8481718672798448
llama3,sar,trivia_qa,1400,0.8403424423245032
llama3,sar,trivia_qa,1500,0.847991334422865
llama3,sar,trivia_qa,1600,0.8523241229903843
llama3,sar,trivia_qa,1700,0.8614077762152712
llama3,sar,trivia_qa,1800,0.8500817148721067
llama3,sar,trivia_qa,1900,0.8507848428413971
llama3,sar,trivia_qa,2000,0.8581439321956595
llama3,sar,trivia_qa,2100,0.8560107939645014
llama3,sar,trivia_qa,2200,0.855421686746988
llama3,sar,trivia_qa,2300,0.8509368705104329
llama3,sar,trivia_qa,2400,0.8499106837444415
llama3,sar,trivia_qa,2500,0.863745201626696
llama3,sar,trivia_qa,2600,0.8516399984797234
llama3,sar,trivia_qa,2700,0.8557732507316331
llama3,sar,trivia_qa,2800,0.8631845995971268
llama3,sar,trivia_qa,2900,0.856029797423131
llama3,sar,trivia_qa,3000,0.854271977499905
llama3,sar,trivia_qa,3100,0.8674508760594428
llama3,sar,trivia_qa,3200,0.8621774162897649
llama3,sar,trivia_qa,3300,0.8621774162897649
llama3,sar,trivia_qa,3400,0.8621774162897649
llama3,sar,trivia_qa,3500,0.8621774162897649
llama3,sar,trivia_qa,3600,0.8621774162897649
llama3,sar,trivia_qa,3700,0.8621774162897649
llama3,sar,trivia_qa,3800,0.8621774162897649
llama3,sar,trivia_qa,3900,0.8621774162897649
llama3,sar,coqa,100,0.7699770040212863
llama3,sar,coqa,200,0.7846474752582533
llama3,sar,coqa,300,0.7812642972380746
llama3,sar,coqa,400,0.7821371812468396
llama3,sar,coqa,500,0.783970237665246
llama3,sar,coqa,600,0.7862126465843144
llama3,sar,coqa,700,0.7733541621517495
llama3,sar,coqa,800,0.7769781357605529
llama3,sar,coqa,900,0.7816134508415805
llama3,sar,coqa,1000,0.7882654289773411
llama3,sar,coqa,1100,0.800509884658913
llama3,sar,coqa,1200,0.7855685183847432
llama3,sar,coqa,1300,0.7879222952635507
llama3,sar,coqa,1400,0.7784951479688893
llama3,sar,coqa,1500,0.7816074309518651
llama3,sar,coqa,1600,0.779494449661682
llama3,sar,coqa,1700,0.7884640853379565
llama3,sar,coqa,1800,0.7826428519829516
llama3,sar,coqa,1900,0.7869651327987671
llama3,sar,coqa,2000,0.7743534638445424
llama3,sar,coqa,2100,0.7803282043872957
llama3,sar,coqa,2200,0.7835518553300104
llama3,sar,coqa,2300,0.7798616629343351
llama3,sar,coqa,2400,0.7806201690385033
llama3,sar,coqa,2500,0.7784168894025861
llama3,sar,coqa,2600,0.7766289821570469
llama3,sar,coqa,2700,0.7756296804642538
llama3,sar,coqa,2800,0.7787389535023719
llama3,sar,coqa,2900,0.7789827590358545
llama3,sar,coqa,3000,0.7816044210070072
llama3,sar,coqa,3100,0.7861705073563052
llama3,sar,coqa,3200,0.7881811505213224
llama3,sar,coqa,3300,0.7781399744756676
llama3,sar,coqa,3400,0.7829980254761731
llama3,sar,coqa,3500,0.7840545161212646
llama3,sar,coqa,3600,0.7801746971995472
llama3,sar,coqa,3700,0.7801746971995472
llama3,sar,coqa,3800,0.7801746971995472
llama3,sar,coqa,3900,0.7801746971995472
llama3,semanticentropy,trivia_qa,100,0.762532780966136
llama3,semanticentropy,trivia_qa,200,0.7647941925430429
llama3,semanticentropy,trivia_qa,300,0.7902303219185892
llama3,semanticentropy,trivia_qa,400,0.8050910265668352
llama3,semanticentropy,trivia_qa,500,0.7848143362091899
llama3,semanticentropy,trivia_qa,600,0.8039983276956406
llama3,semanticentropy,trivia_qa,700,0.808863213104785
llama3,semanticentropy,trivia_qa,800,0.819818707004675
llama3,semanticentropy,trivia_qa,900,0.8392687469119381
llama3,semanticentropy,trivia_qa,1000,0.8262513777507506
llama3,semanticentropy,trivia_qa,1100,0.8317053703774088
llama3,semanticentropy,trivia_qa,1200,0.8297860210558321
llama3,semanticentropy,trivia_qa,1300,0.8389361863859224
llama3,semanticentropy,trivia_qa,1400,0.841815210368287
llama3,semanticentropy,trivia_qa,1500,0.8358386226293184
llama3,semanticentropy,trivia_qa,1600,0.8448937706662613
llama3,semanticentropy,trivia_qa,1700,0.8483714035954544
llama3,semanticentropy,trivia_qa,1800,0.8446562274333929
llama3,semanticentropy,trivia_qa,1900,0.8533978184029494
llama3,semanticentropy,trivia_qa,2000,0.8494736041959637
llama3,semanticentropy,trivia_qa,2100,0.8467086009653757
llama3,semanticentropy,trivia_qa,2200,0.8500437079548477
llama3,semanticentropy,trivia_qa,2300,0.8468131199878379
llama3,semanticentropy,trivia_qa,2400,
llama3,semanticentropy,trivia_qa,2500,0.8510603929915245
llama3,semanticentropy,trivia_qa,2600,0.8546520466724945
llama3,semanticentropy,trivia_qa,2700,0.8473547185587778
llama3,semanticentropy,trivia_qa,2800,0.8506613203603056
llama3,semanticentropy,trivia_qa,2900,0.8479533275056059
llama3,semanticentropy,trivia_qa,3000,0.8579063889627914
llama3,semanticentropy,trivia_qa,3100,0.8564478735129792
llama3,semanticentropy,trivia_qa,3200,0.8505377978792141
llama3,semanticentropy,trivia_qa,3300,0.8505377978792141
llama3,semanticentropy,trivia_qa,3400,0.8505377978792141
llama3,semanticentropy,trivia_qa,3500,0.8505377978792141
llama3,semanticentropy,trivia_qa,3600,0.8505377978792141
llama3,semanticentropy,trivia_qa,3700,0.8505377978792141
llama3,semanticentropy,trivia_qa,3800,0.8505377978792141
llama3,semanticentropy,trivia_qa,3900,0.8505377978792141
llama3,semanticentropy,coqa,100,0.7699770040212863
llama3,semanticentropy,coqa,200,0.7846474752582533
llama3,semanticentropy,coqa,300,0.776815598738231
llama3,semanticentropy,coqa,400,0.7767253003924968
llama3,semanticentropy,coqa,500,0.781083700546606
llama3,semanticentropy,coqa,600,0.7832207613956512
llama3,semanticentropy,coqa,700,0.7778991788870429
llama3,semanticentropy,coqa,800,0.7812101182306339
llama3,semanticentropy,coqa,900,0.773471550001204
llama3,semanticentropy,coqa,1000,0.7829799658070264
llama3,semanticentropy,coqa,1100,0.7763520672301283
