model,uncertainty_type,dataset,unlabeled_size,auroc
mistral,sar,trivia_qa,100,0.7040208749255719
mistral,sar,trivia_qa,200,0.6975587545094742
mistral,sar,trivia_qa,300,0.7084340303316872
mistral,sar,trivia_qa,400,0.7113498651535848
mistral,sar,trivia_qa,500,0.7145809253616335
mistral,sar,trivia_qa,600,0.7386256173163812
mistral,sar,trivia_qa,700,0.7358498826661062
mistral,sar,trivia_qa,800,0.7340285804350111
mistral,sar,trivia_qa,900,0.7371282967321635
mistral,sar,trivia_qa,1000,0.7375836222899372
mistral,sar,trivia_qa,1100,0.7387569612272775
mistral,sar,trivia_qa,1200,0.7330478792336521
mistral,sar,trivia_qa,1300,0.7362701831809744
mistral,sar,trivia_qa,1400,0.7327501663689538
mistral,sar,trivia_qa,1500,0.7381440229764282
mistral,sar,trivia_qa,1600,0.7363139644846066
mistral,sar,trivia_qa,1700,0.7335907673986901
mistral,sar,trivia_qa,1800,0.745613113376064
mistral,sar,trivia_qa,1900,0.7450527126895731
mistral,sar,trivia_qa,2000,0.7440895240096668
mistral,sar,trivia_qa,2100,0.7456656509404225
mistral,sar,trivia_qa,2200,0.7452803754684599
mistral,sar,trivia_qa,2300,0.737303421946692
mistral,sar,trivia_qa,2400,0.7374084970754089
mistral,sar,trivia_qa,2500,0.7362701831809745
mistral,sar,trivia_qa,2600,0.7491681552309902
mistral,sar,trivia_qa,2700,0.7421543903891282
mistral,sar,trivia_qa,2800,0.7498073622640187
mistral,sar,trivia_qa,2900,0.7521
mistral,sar,trivia_qa,3000,0.7545444993170116
mistral,sar,trivia_qa,3100,0.7570400336240413
mistral,semanticentropy,trivia_qa,100,0.7040208749255719
mistral,semanticentropy,trivia_qa,200,0.696718153479738
mistral,semanticentropy,trivia_qa,300,0.7270585968967813
mistral,semanticentropy,trivia_qa,400,0.71187524079717
mistral,semanticentropy,trivia_qa,500,0.712606388567826
mistral,semanticentropy,trivia_qa,600,0.7180484046092958
mistral,semanticentropy,trivia_qa,700,0.7104260796469475
mistral,semanticentropy,trivia_qa,800,0.7144320689292845
mistral,semanticentropy,trivia_qa,900,0.7076722356484887
mistral,semanticentropy,trivia_qa,1000,0.708994431018178
mistral,semanticentropy,trivia_qa,1100,0.7104654828202166
mistral,semanticentropy,trivia_qa,1200,0.7065
mistral,semanticentropy,trivia_qa,1300,0.7079874610346398
mistral,semanticentropy,trivia_qa,1400,0.7177769605267768
mistral,semanticentropy,trivia_qa,1500,0.7148698819656053
mistral,semanticentropy,trivia_qa,1600,0.714983713355049
mistral,semanticentropy,trivia_qa,1700,0.7176893979195125
mistral,semanticentropy,trivia_qa,1800,0.7209642394311933
mistral,semanticentropy,trivia_qa,1900,0.7179433294805786
mistral,semanticentropy,trivia_qa,2000,0.7131536548632273
mistral,semanticentropy,trivia_qa,2100,0.7213932962067878
mistral,semanticentropy,trivia_qa,2200,0.7088718433680081
mistral,semanticentropy,trivia_qa,2300,0.7179958670449371
mistral,semanticentropy,trivia_qa,2400,0.723608630170572
mistral,semanticentropy,trivia_qa,2500,0.7257451577878183
mistral,semanticentropy,trivia_qa,2600,0.7242303246821478
mistral,semanticentropy,trivia_qa,2700,0.7213013554691605
mistral,semanticentropy,trivia_qa,2800,0.7212137928618962
mistral,semanticentropy,trivia_qa,2900,0.730749360792967
mistral,semanticentropy,trivia_qa,3000,0.7227767854015621
mistral,semanticentropy,trivia_qa,3100,0.710290357605688
mistral,maximumsequenceprobability,trivia_qa,100,0.7040208749255719
mistral,maximumsequenceprobability,trivia_qa,200,0.6975587545094742
mistral,maximumsequenceprobability,trivia_qa,300,0.6980228363279743
mistral,maximumsequenceprobability,trivia_qa,400,0.7078823859059227
mistral,maximumsequenceprobability,trivia_qa,500,0.7093884627508669
mistral,maximumsequenceprobability,trivia_qa,600,0.7201280165318201
mistral,maximumsequenceprobability,trivia_qa,700,0.7206315015235893
mistral,maximumsequenceprobability,trivia_qa,800,0.7247206752828271
mistral,maximumsequenceprobability,trivia_qa,900,0.7161482960316625
mistral,maximumsequenceprobability,trivia_qa,1000,0.7087317431963854
mistral,maximumsequenceprobability,trivia_qa,1100,0.7109383208994431
mistral,maximumsequenceprobability,trivia_qa,1200,0.7191079121571924
mistral,maximumsequenceprobability,trivia_qa,1300,0.7170501908864838
mistral,maximumsequenceprobability,trivia_qa,1400,0.7120153409687928
mistral,maximumsequenceprobability,trivia_qa,1500,0.7185212426885221
mistral,maximumsequenceprobability,trivia_qa,1600,0.7089944310181779
mistral,maximumsequenceprobability,trivia_qa,1700,0.7148523694441526
mistral,maximumsequenceprobability,trivia_qa,1800,0.718705124163777
mistral,maximumsequenceprobability,trivia_qa,1900,0.7276715351476306
mistral,maximumsequenceprobability,trivia_qa,2000,0.7189590557248433
mistral,maximumsequenceprobability,trivia_qa,2100,0.7202199572694477
mistral,maximumsequenceprobability,trivia_qa,2200,0.7188977618997583
mistral,maximumsequenceprobability,trivia_qa,2300,0.7309025953556794
mistral,maximumsequenceprobability,trivia_qa,2400,0.7203294105285278
mistral,maximumsequenceprobability,trivia_qa,2500,0.7240376869461664
mistral,maximumsequenceprobability,trivia_qa,2600,0.7151150572659452
mistral,maximumsequenceprobability,trivia_qa,2700,0.7264456586459317
mistral,maximumsequenceprobability,trivia_qa,2800,0.7367342649994746
mistral,maximumsequenceprobability,trivia_qa,2900,0.7297555252005183
mistral,maximumsequenceprobability,trivia_qa,3000,0.7278510384925221
mistral,maximumsequenceprobability,trivia_qa,3100,0.727408847325838
mistral,lexicalsimilarity,trivia_qa,100,0.7040208749255719
mistral,lexicalsimilarity,trivia_qa,200,0.696718153479738
mistral,lexicalsimilarity,trivia_qa,300,0.7052817764701761
mistral,lexicalsimilarity,trivia_qa,400,0.7183986550383523
mistral,lexicalsimilarity,trivia_qa,500,0.7090732373647157
mistral,lexicalsimilarity,trivia_qa,600,0.7131448986025009
mistral,lexicalsimilarity,trivia_qa,700,0.7158593394276909
mistral,lexicalsimilarity,trivia_qa,800,0.7247469440650065
mistral,lexicalsimilarity,trivia_qa,900,0.7264631711673847
mistral,lexicalsimilarity,trivia_qa,1000,0.7206139890021366
mistral,lexicalsimilarity,trivia_qa,1100,0.7177419354838709
mistral,lexicalsimilarity,trivia_qa,1200,0.7286609926097158
mistral,lexicalsimilarity,trivia_qa,1300,0.7280480543588667
mistral,lexicalsimilarity,trivia_qa,1400,0.7356047073657666
mistral,lexicalsimilarity,trivia_qa,1500,0.724650625197016
mistral,lexicalsimilarity,trivia_qa,1600,0.7285734300024518
mistral,lexicalsimilarity,trivia_qa,1700,0.7195282126720606
mistral,lexicalsimilarity,trivia_qa,1800,0.7256488389198277
mistral,lexicalsimilarity,trivia_qa,1900,0.7266032713390074
mistral,lexicalsimilarity,trivia_qa,2000,0.724339777941228
mistral,lexicalsimilarity,trivia_qa,2100,0.7285208924380933
mistral,lexicalsimilarity,trivia_qa,2200,0.7336783300059542
mistral,lexicalsimilarity,trivia_qa,2300,0.7248257504115443
mistral,lexicalsimilarity,trivia_qa,2400,0.733905992784841
mistral,lexicalsimilarity,trivia_qa,2500,0.7352019193723514
mistral,lexicalsimilarity,trivia_qa,2600,0.7210474239080942
mistral,lexicalsimilarity,trivia_qa,2700,0.7310514517880284
mistral,lexicalsimilarity,trivia_qa,2800,0.7444222619172708
mistral,lexicalsimilarity,trivia_qa,2900,0.7275401912367343
mistral,lexicalsimilarity,trivia_qa,3000,0.7409504045392457
mistral,lexicalsimilarity,trivia_qa,3100,0.7292389058176596
mistral,montecarlosequenceentropy,trivia_qa,100,0.7040208749255719
mistral,montecarlosequenceentropy,trivia_qa,200,0.696718153479738
mistral,montecarlosequenceentropy,trivia_qa,300,0.6925501733739624
mistral,montecarlosequenceentropy,trivia_qa,400,0.7084778116353193
mistral,montecarlosequenceentropy,trivia_qa,500,0.7056320268992329
mistral,montecarlosequenceentropy,trivia_qa,600,0.71187524079717
mistral,montecarlosequenceentropy,trivia_qa,700,0.7151851073517566
mistral,montecarlosequenceentropy,trivia_qa,800,0.721480858814052
mistral,montecarlosequenceentropy,trivia_qa,900,0.7077510419950264
mistral,montecarlosequenceentropy,trivia_qa,1000,0.7098306539175511
mistral,montecarlosequenceentropy,trivia_qa,1100,0.7300007005008582
mistral,montecarlosequenceentropy,trivia_qa,1200,0.7208504080417499
mistral,montecarlosequenceentropy,trivia_qa,1300,0.7129259920843403
mistral,montecarlosequenceentropy,trivia_qa,1400,0.7088981121501874
mistral,montecarlosequenceentropy,trivia_qa,1500,0.7190466183321074
mistral,montecarlosequenceentropy,trivia_qa,1600,0.719957269447655
mistral,montecarlosequenceentropy,trivia_qa,1700,0.717409197576267
mistral,montecarlosequenceentropy,trivia_qa,1800,0.72143707751042
mistral,montecarlosequenceentropy,trivia_qa,1900,0.7252985884907709
mistral,montecarlosequenceentropy,trivia_qa,2000,0.7225535007530385
mistral,montecarlosequenceentropy,trivia_qa,2100,0.7205964764806837
mistral,montecarlosequenceentropy,trivia_qa,2200,0.7246418689362895
mistral,montecarlosequenceentropy,trivia_qa,2300,0.7241427620748835
mistral,montecarlosequenceentropy,trivia_qa,2400,0.7259202830023467
mistral,montecarlosequenceentropy,trivia_qa,2500,0.7158286925151485
mistral,montecarlosequenceentropy,trivia_qa,2600,0.7190553745928339
mistral,montecarlosequenceentropy,trivia_qa,2700,0.7273913348043851
mistral,montecarlosequenceentropy,trivia_qa,2800,0.7209
mistral,montecarlosequenceentropy,trivia_qa,2900,0.7174267100977199
mistral,montecarlosequenceentropy,trivia_qa,3000,0.7250709257118841
mistral,montecarlosequenceentropy,trivia_qa,3100,0.7196113971489615
